2017-11-20 22:41:38.950 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2017-11-20 22:42:10.777 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zfb/notify/recharge]}" onto public void com.ywt.jhamster.web.controller.notify.ZfbNotifyController.rechargeNotify(javax.servlet.http.HttpServletRequest)
2017-11-20 22:42:10.782 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/payment/hello]}" onto public void com.ywt.jhamster.web.controller.payment.PaymentController.index(com.ywt.jhamster.entity.params.GameRechargeParams)
2017-11-20 22:42:10.783 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/payment/gameRecharge]}" onto public com.ywt.jhamster.common.constant.Result<java.lang.String> com.ywt.jhamster.web.controller.payment.PaymentController.gameRecharge(com.ywt.jhamster.entity.params.GameRechargeParams)
2017-11-20 22:42:10.784 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/payment/hello1]}" onto public void com.ywt.jhamster.web.controller.payment.PaymentController.index1(com.ywt.jhamster.entity.params.GameRechargeParams)
2017-11-20 22:42:10.785 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/payment/hello2]}" onto public com.ywt.jhamster.common.constant.Result<java.lang.String> com.ywt.jhamster.web.controller.payment.PaymentController.index2()
2017-11-20 22:42:10.866 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-11-20 22:42:10.866 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-11-20 22:42:10.912 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in bussinessExceptionHandle
2017-11-20 22:42:10.979 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-11-20 22:42:11.750 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-11-20 22:42:11.751 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-11-20 22:42:11.758 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2017-11-20 22:42:12.296 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-11-20 22:42:12.485 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2017-11-20 22:42:12.518 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8080]
2017-11-20 22:42:12.524 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2017-11-20 22:42:12.559 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
2017-11-20 22:42:12.571 [main] INFO  com.ywt.jhamster.web.Start - Started Start in 50.063 seconds (JVM running for 56.196)
